Reference	Value	Datasheet	Footprint	Qty	DNP
C1	470 uF 50V	~	Capacitor_THT:C_Radial_D10.0mm_H20.0mm_P5.00mm	1	
C2	1000 uF 25V	~	Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm	1	
D1	1N5822	http://www.vishay.com/docs/88526/1n5820.pdf	Diode_THT:D_DO-201AD_P15.24mm_Horizontal	1	
H1,H2,H3	MountingHole	~	MountingHole:MountingHole_5mm	3	
J1,J2	Conn_01x06_Male	~	Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_6-G-5,08_1x06_P5.08mm_Horizontal	2	
J3,J4	Conn_01x03_Male	~	Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	2	
J5	Conn_01x04_Male	~	Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical	1	
J6,J8	Screw_Terminal_01x02	~	TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal	2	
J7	Conn_02x20_Odd_Even	~	Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical	1	
L1	33 uH	~	Inductor_THT:L_Radial_D7.2mm_P3.00mm_Murata_1700	1	
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10	PN2222A	https://www.onsemi.com/pub/Collateral/PN2222-D.PDF	Package_TO_SOT_THT:TO-92_Inline	10	
R1	2.8	~	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	1	
R2	5100	~	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	1	
R3,R4,R5,R6,R7,R8,R9,R10,R11	560	~	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	9	
R12	14	~	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	1	
U1,U3	LM317_TO-220	http://www.ti.com/lit/ds/symlink/lm317.pdf	Package_TO_SOT_THT:TO-220-3_Vertical	2	
U2	LM2596T-5	http://www.ti.com/lit/ds/symlink/lm2596.pdf	Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical	1	
